Gene	sgRNA	NKselection|beta	NKselection|z	NKselection|p-value	NKselection|fdr	NKselection|wald-p-value	NKselection|wald-fdr
COMMD4	6	-0.75765	-1.6758	0.10854	0.90965	0.093774	0.84383
hsa-mir-548ap	3	-0.60968	-1.0926	0.34221	0.95611	0.27457	0.84383
KIF21A	6	0.37693	0.74261	0.80776	0.99682	0.45772	0.84383
CDH13	6	0.45776	0.93887	0.7024	0.99682	0.3478	0.84383
IRAK1BP1	6	0.17169	0.47119	0.90662	0.99682	0.63751	0.87197
ISG15	6	-0.32237	-0.94917	0.35922	0.9642	0.34253	0.84383
CHN2	6	0.14918	0.32364	0.87464	0.99682	0.74621	0.90647
hsa-mir-4720	4	-0.2538	-0.4957	0.52311	0.98798	0.62011	0.86725
hsa-mir-3622a	4	-0.77906	-1.4211	0.1845	0.93547	0.15529	0.84383
PLXNA3	6	0.54489	1.251	0.59257	0.99052	0.21095	0.84383
BBOX1	6	0.50816	1.817	0.63631	0.99299	0.069215	0.84383
FILIP1	6	-0.08717	-0.16015	0.58967	0.99026	0.87277	0.95116
EVI2B	6	-0.3623	-0.56927	0.3277	0.95199	0.56917	0.85454
HHIP	6	0.26402	0.47342	0.96364	0.99919	0.63592	0.87168
LRRC15	6	-0.054259	-0.16461	0.62548	0.99168	0.86925	0.94946
FAM178A	6	-0.29358	-0.49422	0.38388	0.96928	0.62115	0.86742
ADCY7	6	-0.45385	-0.89487	0.25907	0.94696	0.37086	0.84383
CCR2	6	-0.21415	-0.48727	0.4579	0.98602	0.62607	0.86927
DTNBP1	6	0.84414	0.95906	0.30686	0.95153	0.33753	0.84383
NonTargetingControlGuideForHuman_0786	1	-0.71547	-1.3217	0.571	0.98944	0.18627	0.84383
LRRC34	6	-0.10654	-0.25602	0.568	0.98944	0.79793	0.92315
KRTAP6-2	6	-0.55965	-1.5509	0.19321	0.93708	0.12093	0.84383
PLAT	6	0.8143	1.1744	0.32843	0.95229	0.24023	0.84383
POU4F3	6	-0.10716	-0.20806	0.56718	0.98944	0.83518	0.93784
hsa-mir-578	4	0.56176	0.69578	0.65018	0.99492	0.48656	0.84383
PLAGL2	6	-0.25574	-0.64468	0.41858	0.97893	0.51913	0.84562
